"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Ethiopia","ETH","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.41","","","","","","19.51","19.65","","","","18.6","","18.18","18.24","18.19","18.22","18.15","","","17.87","","","17.83","","","18.49","","",
"European Union","EUU","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Fragile and conflict affected situations","FCS","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Fiji","FJI","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.62","10.51","","11.05","11.57","13.33","13.43","13.97","17.76","14.16","14.36","","11.96","","14.19","15.57","20.84","14.97","7.84","","",
"France","FRA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Faroe Islands","FRO","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.29","","","19.85","","19.79","19.68","18.92","19.84","19.84","19.65","","18.71","18.73","18.48","18.51","18.57","18.58","18.6","","17.8","18.89","","","18.65","","","","",
"United Kingdom","GBR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.31","4.26","2.87","2.8","2.86","3.05","3.05","2.83","2.66","2.69","3.02","2.5","2.51","2.47","2.93","2.9","2.68","2.62","2.44","2.55","1.88","1","","",
"Georgia","GEO","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.86","","9.77","9.95","7.74","7.56","6.99","5.65","0.63","0.6","0.51","0.5","1.2","1.32","1.22","","0.43","1.23","","","","0.27","0.43","","",
"Ghana","GHA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.64","","","","","","","14.26","12.52","12.52","12.52","","","","13.03","12.97","12.96","12.88","","","12.49","","","12.3","12.33","12.39","12.44","12.84","12.84","","",
"Gibraltar","GIB","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.24","","","","","","6.26","14.07","","","13.52","13.32","13.5","","13.52","","","","","13.26","13.08","12.67","13.15","13.14","","",
"Gambia, The","GMB","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.82","","","","18.7","18.73","18.82","15.54","15.58","15.58","15.6","","","","","14.25","","13.85","14.02","","",
"Guinea-Bissau","GNB","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.34","15.34","13.98","14.23","14.03","13.08","13.92","13.49","13.26","13.23","13.16","13.36","13.92","13.39","","","14.44","14.3","12.66","13.2","13.23","","",
"Equatorial Guinea","GNQ","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.45","","","19.34","19.32","","","19.13","","18.65","","","","","","","","","","","","","","","","",
"Greece","GRC","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Grenada","GRD","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.37","","","18.57","12.79","18.46","12.99","12.89","","","10.58","10.53","10.61","","9.07","11.57","10.98","10.99","","11.23","10.81","","","10.55","","","","",
"Greenland","GRL","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.68","","8.35","7.69","7.12","6.87","7.16","6.91","6.41","5.2","6.69","6.55","5.36","4.45","5.01","4.09","3.99","3.86","3.83","3.51","3.33","","","","","2.6","3","","",
"Guam","GUM","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.17","","","18.5","18.58","12","12.07","12.07","","","11.38","12.36","10.35","11.92","10.25","9.76","9.74","10.63","","9.82","9.85","9.77","9.87","9.48","9.4","9.28","","",
"High income","HIC","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.27","6.62","8.37","10.3","8.92","7.42","8.87","7.2","6.75","6.26","6.03","6.67","6.47","6.44","5.69","5.24","5.08","4.68","4.85","4.58","4.39","4.42","4.81","4.85","4.45","4.51","4.02","4.1","4.53","3.85","","","","","","",
"Hong Kong SAR, China","HKG","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Honduras","HND","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.59","7.21","9.23","8.04","7.96","8.1","7.84","6.69","6.67","5.54","6.69","6.56","5.4","4.73","6.55","6.53","6.51","6.38","6.36","","4.32","","","4.01","","3.9","3.36","","",
"Heavily indebted poor countries (HIPC)","HPC","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Haiti","HTI","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.08","3.29","","","","","3.15","3.03","3.34","7.13","6.48","2.87","6.21","6.21","5.97","6.33","","","","6.39","","","",
"Hungary","HUN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"IBRD only","IBD","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.78","23.15","","","16.74","","14.01","10.76","20.57","7.93","9.86","8.02","6.13","6.28","5.74","5.81","5.78","5.82","5.57","6.84","4.96","5.18","5.3","5.43","5.37","","","6.31","5.86","6.25","6.71","6.29","6.02","","",
"IDA only","IDX","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.85","","56.02","","","","37","28.9","","32.4","33.4","31.79","28.79","25.63","28.57","16.5","13.86","14.66","9.98","10.28","8.88","10.56","10.71","10.59","","9.75","8.91","8.88","9.03","10.21","9.42","9.86","","",
"Not classified","INX","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Iran, Islamic Rep.","IRN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.47","","","19.03","18.73","","","21.3","20.53","","","20.92","","","","","","","","16.18","15.22","","","",
"Iraq","IRQ","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iceland","ISL","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","","","5.06","","7.41","6.73","7.94","6.26","","7.32","7.09","7.59","3.86","3.95","3.55","2.79","2.55","2.59","2.6","2.6","2.46","2.22","1.71","1.29","","1.17","","1.53","","",
"Israel","ISR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.48","","","","","","12.27","8.8","6.43","6.22","6.09","2.56","2.66","4.91","2.45","2.69","5.86","","4.95","1.89","1.77","1.78","4.03","3.84","1.89","","","","3.23","","",
"Italy","ITA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Jamaica","JAM","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.07","","","18.19","9.21","9.21","9.47","9.56","9.49","","9.15","9.32","","","8.38","8.37","11.14","10.88","","9.7","10.28","","","","9","8.95","","",
"Jordan","JOR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.82","16.45","16.62","14.48","14.19","12.29","10.87","10.7","10.62","9.74","11.63","11.76","11.33","11.29","5.95","5.87","5.72","4.84","","","5.23","","","",
"Japan","JPN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.55","4.41","4","3.97","3.97","4.03","4.12","4.04","4.25","4.01","3.89","3.88","4.25","4.43","4.41","4.25","4.17","4.05","4.35","4.11","3.92","3.93","3.63","3.84","3.8","2.33","3.77","3.52","3.51","3.69","3.77","5.91","2.31","2.18","","",
"Kazakhstan","KAZ","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.42","","","","4.48","","7.56","7.43","7.49","7.62","6.95","6.91","5.12","4.79","4.64","5.39","4.17","4.48","","",
"Kenya","KEN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.23","","","","","17.57","20.9","20.45","16.84","","16.66","12.42","12.32","12.13","12.09","12.17","12.55","12.41","12.05","11.72","11.88","11.96","12.11","","12.56","13.08","13.69","14.12","","",
"Kyrgyz Republic","KGZ","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","4.66","4.55","8.17","4.28","","","3","2.9","3.16","3.06","3.26","3.31","3.31","3.31","3.28","5.53","4.63","4.12","3.88","5.57","3.85","4.39","","",
"Cambodia","KHM","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.74","16.28","16.26","","14.09","13.73","12.42","12.36","","13.16","12.26","12.36","","8.04","","12.45","","","","8.2","7.72","","",
"Kiribati","KIR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.98","","","18.98","14.34","14.46","14.54","14.9","","","12.88","12.33","12.24","14.02","12.16","11.84","11.64","11.64","11.65","11.66","11.68","13.54","13.59","14.3","10.03","","","",
"Korea, Rep.","KOR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.83","14.89","12.98","","11.18","","","8.27","9.83","9.72","10.25","8.54","9.84","9.91","9.58","9.49","9.12","9.12","9.2","8.36","9.76","9.97","10.12","10.36","10.18","10.33","5.98","6.05","11.12","5.36","5.23","","5.29","5","","",
"Kuwait","KWT","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.46","4.82","4.82","4.31","4.29","3.99","4.03","3.5","4.62","4.62","4.25","4.49","3.9","3.86","3.86","3.88","3.9","3.9","3.84","3.86","","",
"Latin America & Caribbean (excluding high income)","LAC","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.92","33.5","16.55","14.36","13.37","11.86","11.96","13.11","12.27","12.23","12.61","12.52","11.65","11.09","11.03","9.43","9.31","8.56","8.33","7.93","7.78","8.42","7.87","7.86","7.97","6.98","7.4","8.42","6.86","","","","","","",
"Lao PDR","LAO","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.36","9.7","","","8.63","6.87","6.17","5.57","9.25","","","","","","4.01","2.79","2.03","1.95","1.75","2.72","2.72","2.49","","",
"Lebanon","LBN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.94","19.52","8.41","10.28","","7.11","8.78","6.35","7.72","","","","","","","5.88","5.86","5.3","3.46","5.01","4.97","5.08","","","",
"Liberia","LBR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.86","9.75","9.67","","","","9.58","","13.92","14.09","","",
"Libya","LBY","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.57","","","","","","22.91","","","","0","","","","","","","","","","","","","","4.84","4.46","","",
"St. Lucia","LCA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.95","","","18.58","18.62","12.36","12.84","12.8","","12.66","9.68","9.26","","","13.29","13.38","11.06","11.75","8.75","8.16","8.7","","","8.71","8.93","","","",
"Latin America & Caribbean","LCN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.92","33.5","16.78","14.66","13.37","11.86","11.96","13.29","12.27","12.23","13.12","12.71","11.77","11.44","11.19","9.66","9.34","8.98","8.55","8","7.84","8.87","8.39","8.07","8.33","7.35","7.71","8.9","6.98","","","","","","",
"Least developed countries: UN classification","LDC","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.05","21.78","15.2","24.03","20.18","17.13","20.09","13.41","12.94","13.68","12.88","11.07","13.87","13.18","13.08","13.37","12.14","12.78","12.32","12.16","11.55","11.16","12.09","10.87","10.96","","","","","","",
"Liechtenstein","LIE","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.38","","","23.9","24.51","","","20.19","11.16","","9.72","9.61","","9.62","10.57","11.73","11.4","11.08","10.95","10.77","9.79","9.97","9.94","","9.33","7.87","","10.35","12.06","16.38","8.84","5.73","","",
"Lower middle income","LMC","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low & middle income","LMY","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.57","33.85","33.33","","32.31","23.36","28.38","22.36","14.35","16.48","17.5","17.35","17.05","15.31","16.62","14.5","13.24","11.45","10.87","9.97","9.5","9.49","9.36","9.33","8.36","8.17","8.74","7.61","8.27","6.84","","","","","","",
"Lesotho","LSO","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.78","","","9.97","11.97","10.91","9.4","10.2","9.88","10.73","10.41","9.26","2.6","3.18","3.6","3.11","2.35","6.03","7.45","5.81","6.01","","",
"Late-demographic dividend","LTE","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Luxembourg","LUX","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Latvia","LVA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Macao SAR, China","MAC","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"St. Martin (French part)","MAF","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.07","","","","20.6","","","29.53","29.08","28.81","28.49","","19.23","15.73","13.3","11.89","9.16","16.97","14.08","4.83","","4.32","4.35","4.3","4.34","","4.33","4.33","5.73","","",
"Monaco","MCO","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.75","","","","4.94","5.11","","5.21","5.29","5.32","4.37","4.77","4.4","5.12","4.57","5.02","4.55","8.3","4.61","5.41","5.34","","","","2.19","2.34","","",
"Madagascar","MDG","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.49","7.63","7.63","6.52","","6.1","5.33","5.61","5.14","3.76","11.37","13.33","12.11","12.13","10.73","10.56","10.93","10.96","10.96","10.69","10.94","10.26","6.91","9.25","8.89","8.27","8.53","","",
"Maldives","MDV","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.38","21.23","21.26","21.18","21.14","21.39","21.4","","21.5","21.57","21.98","22.11","11.09","10.98","10.66","11.58","11.41","11.14","11.69","13.25","11.73","10.43","","",
"Middle East & North Africa","MEA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.07","","21.31","30.15","12.32","27.19","26.57","15.47","25.03","15.23","18.61","15.06","15.52","12.47","9.49","8.17","8.84","7.25","9.37","8.37","9.94","8.32","6.2","5.46","5.03","5.11","5.28","5.05","","","","","","",
