"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Belgium","BEL","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Benin","BEN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.27","14.25","14.49","14.5","14.49","13.52","12.83","12.83","12.83","12.83","13.09","13.09","13.1","12.96","10.91","10.58","13.63","13.42","11.67","11.67","11.32","","",
"Burkina Faso","BFA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","13.39","13.35","13.56","13.56","13.45","12.52","12.38","12.38","12.38","12.29","12.32","12.33","12.33","12.25","10.43","10.88","12.41","12.17","11.41","11","11.33","","",
"Bangladesh","BGD","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.36","","","","","84.9","","","","27.52","22.31","22.23","20.87","21.01","19.56","18.26","15.37","15.21","14.27","13.75","14.05","13.88","13.8","13.53","12.86","","11.97","12.96","","","12.19","12.53","12.57","","",
"Bulgaria","BGR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Bahrain","BHR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.47","8.45","8.42","5.48","5.41","5.41","4.53","4.49","4.17","4.12","4.34","5.22","4.27","4.27","4.06","3.75","3.59","3.6","4.08","3.36","3.68","3.59","3.6","","",
"Bahamas, The","BHS","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.91","","","28.99","","","","28.51","","","","33.36","33.17","","30.43","30.36","28.08","26.78","","23.66","","","","","",
"Bosnia and Herzegovina","BIH","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.26","","","","","8.37","7.35","7.04","4.19","3.76","3.37","3.15","2.99","3.1","2.49","2.6","2.88","2.95","5.32","2.95","3.16","","",
"Belarus","BLR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.99","12.81","","","10.63","10.52","11.49","","","","","","9.26","9.25","7.52","7.55","7.5","7.45","6.73","6.02","5.04","4.92","5.14","7.93","5.15","5.65","","",
"Belize","BLZ","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.72","","","19.37","","12.75","12.99","12.85","","","11.78","11.6","11.73","12.54","12.57","11.64","11.23","11.49","11.49","11.4","10.97","11.09","10.87","10.88","11.76","11.87","","",
