Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","BLR","Bélarus","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","423400","E","Valeur estimée",""
"QCL","Cultures et produits animaux","BEL","Belgique","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","53283","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BEL","Belgique","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","297794","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BLZ","Belize","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","1692","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BLZ","Belize","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","11915","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BEN","Bénin","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","16333","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BEN","Bénin","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","17591","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BTN","Bhoutan","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","975","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BTN","Bhoutan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","866","E","Valeur estimée",""
"QCL","Cultures et produits animaux","BOL","Bolivie (État plurinational de)","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","223787","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BOL","Bolivie (État plurinational de)","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","156806","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BIH","Bosnie-Herzégovine","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","9299","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BIH","Bosnie-Herzégovine","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","43537","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BWA","Botswana","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","830","E","Valeur estimée",""
"QCL","Cultures et produits animaux","BWA","Botswana","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","2376","E","Valeur estimée",""
"QCL","Cultures et produits animaux","BRA","Brésil","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","1586048","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BRA","Brésil","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","6109829","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BRN","Brunéi Darussalam","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","21416","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BRN","Brunéi Darussalam","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","20472","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BGR","Bulgarie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","50298","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BFA","Burkina Faso","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","55306","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BFA","Burkina Faso","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","150000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","BDI","Burundi","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","2784","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BDI","Burundi","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","8032","I","Valeur imputée",""
"QCL","Cultures et produits animaux","CPV","Cabo Verde","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","656","E","Valeur estimée",""
"QCL","Cultures et produits animaux","CPV","Cabo Verde","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","461","E","Valeur estimée",""
"QCL","Cultures et produits animaux","KHM","Cambodge","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","11682","I","Valeur imputée",""
"QCL","Cultures et produits animaux","KHM","Cambodge","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","15968","I","Valeur imputée",""
"QCL","Cultures et produits animaux","CMR","Cameroun","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","51386","I","Valeur imputée",""
"QCL","Cultures et produits animaux","CMR","Cameroun","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","103089","I","Valeur imputée",""
"QCL","Cultures et produits animaux","CAN","Canada","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","173942","I","Valeur imputée",""
"QCL","Cultures et produits animaux","CAN","Canada","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","789420","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","CHL","Chili","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","57142","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","CHL","Chili","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","300523","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","F351","Chine","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","5290244","E","Valeur estimée",""
"QCL","Cultures et produits animaux","F351","Chine","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","11830531","E","Valeur estimée",""
"QCL","Cultures et produits animaux","HKG","Chine - RAS de Hong-Kong","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","4325","E","Valeur estimée",""
"QCL","Cultures et produits animaux","HKG","Chine - RAS de Hong-Kong","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","16689","E","Valeur estimée",""
"QCL","Cultures et produits animaux","MAC","Chine - RAS de Macao","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","802","E","Valeur estimée",""
"QCL","Cultures et produits animaux","MAC","Chine - RAS de Macao","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","3632","E","Valeur estimée",""
"QCL","Cultures et produits animaux","CHN","Chine, continentale","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","5185477","I","Valeur imputée",""
"QCL","Cultures et produits animaux","CHN","Chine, continentale","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","11428002","I","Valeur imputée",""
"QCL","Cultures et produits animaux","TWN","Chine, Taiwan Province de","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","99641","I","Valeur imputée",""
"QCL","Cultures et produits animaux","TWN","Chine, Taiwan Province de","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","382208","I","Valeur imputée",""
"QCL","Cultures et produits animaux","CYP","Chypre","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","13556","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","COL","Colombie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","215218","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","COL","Colombie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","1070155","I","Valeur imputée",""
"QCL","Cultures et produits animaux","COM","Comores","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","547","I","Valeur imputée",""
"QCL","Cultures et produits animaux","COM","Comores","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","734","I","Valeur imputée",""
"QCL","Cultures et produits animaux","COG","Congo","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","3025","E","Valeur estimée",""
"QCL","Cultures et produits animaux","COG","Congo","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","6827","E","Valeur estimée",""
"QCL","Cultures et produits animaux","CRI","Costa Rica","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","26362","I","Valeur imputée",""
"QCL","Cultures et produits animaux","CRI","Costa Rica","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","80668","I","Valeur imputée",""
"QCL","Cultures et produits animaux","CIV","Côte d'Ivoire","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","92559","I","Valeur imputée",""
"QCL","Cultures et produits animaux","CIV","Côte d'Ivoire","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","71027","I","Valeur imputée",""
"QCL","Cultures et produits animaux","HRV","Croatie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","10918","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","HRV","Croatie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","39410","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","CUB","Cuba","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","30155","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","CUB","Cuba","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","15401","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","DNK","Danemark","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","22412","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","DNK","Danemark","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","97802","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","DMA","Dominique","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","203","I","Valeur imputée",""
"QCL","Cultures et produits animaux","DMA","Dominique","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","371","I","Valeur imputée",""
"QCL","Cultures et produits animaux","EGY","Égypte","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","300000","E","Valeur estimée",""
