Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","ARM","Arménie","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","1075.114","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ARM","Arménie","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","1864.83","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ABW","Aruba","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","106.537","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ABW","Aruba","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","59.949","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ABW","Aruba","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","46.848","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUS","Australie","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","25921.089","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUS","Australie","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","3504.916","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUS","Australie","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","22195.539","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUT","Autriche","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","8922.082","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUT","Autriche","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","3608.752","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUT","Autriche","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","5191.931","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AZE","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","10312.992","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AZE","Azerbaïdjan","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","4399.795","X","Ciffre de sources internationales",""
